发电成本,开关成本,充放电成本,弃能源成本,碳捕捉成本,碳交易成本,碳封存成本,总成本,碳排放
2301178.1188853765,30,18000.0,507335.89195905265,406761.25150073064,586148.5261476983,1506523.1537064097,5325976.942199267,2536.3644399027744
2298036.9596023755,30,17000.0,446721.86742453516,348475.5115743164,584758.5627713316,1290650.0428678384,4985672.944240397,3061.1013742425716
2297653.3249803595,30,14000.0,451591.3608305761,289661.74422335293,584587.8354489456,1072821.2749013072,4710345.540384541,3603.8375164988365
2297791.8236790416,30,18000.0,509711.3006895387,407808.05312502297,584649.6718028752,1510400.1967593445,5328391.046055823,2510.555118885245
2299726.0370391263,30,17000.0,489041.34570788423,208601.97114009364,585513.0015755956,772599.8931114579,4372512.248574157,4364.338993840663
2298456.8424777715,30,18000.0,449052.22409122216,287213.8124906769,584948.7741868277,1063754.861076581,4701456.514323079,3630.3846127583083
2298402.0206476953,30,13000.0,494285.7060917618,219512.5402729498,584919.5933820187,813009.4084183325,4423159.268812758,4256.934472309209
2296456.663813889,30,17000.0,521339.0419271617,463241.8088009393,584064.3743861391,1715710.4029664416,5597842.291894571,1990.9860827574344
2298361.468722588,30,13000.0,448137.0403296029,289626.61172460695,584908.5615506786,1072691.1545355814,4706754.836863058,3607.6114851737207
2297782.335702569,30,18000.0,459455.3948099747,398208.05647407856,584645.7141053912,1474844.6536076984,5232966.154699712,2599.4014208774333
2296879.392023143,30,15000.0,514947.88228049583,402252.65799079085,584250.8184671657,1489824.6592251512,5303185.4099867465,2557.705217175462
2295352.744281132,30,14000.0,543377.3065537282,482016.2609096549,583585.5819032376,1785245.4107764997,5703607.304424252,1812.0002569645303
2298305.236233212,30,16000.0,514006.64178996935,460767.90981816495,584876.8845669742,1706547.8141413515,5580534.486549673,2022.6292234312898
2298418.807208763,30,12000.0,453481.6640205624,307200.73516728333,584933.240133266,1137780.5006195677,4793844.9471494425,3445.1534810668436
2297049.837880267,30,14000.0,520798.67851744837,496596.6776186896,584324.945494997,1839246.9541432948,5752047.093654696,1684.9465446954944
2296430.0839407295,30,15000.0,528450.5550604064,463232.77867421316,584052.5486212056,1715676.9580526415,5602872.924349196,1990.9425362792094
2296615.040188277,30,19000.0,528539.6861208923,435841.9813109408,584132.5260870883,1614229.560410892,5478388.7941180905,2245.4210031350117
2296682.557184443,30,18000.0,530111.6582426891,485299.14883610245,584162.8015580726,1797404.2549485276,5711690.420769835,1787.809809489676
2296777.36172311,30,17000.0,448634.8169087613,512656.91633803165,584206.6448662438,1898729.3197704877,5758035.059606635,1534.968580855973
2298024.933860761,30,17000.0,446721.86742453516,333145.2927360415,584753.7138874108,1233871.4545779312,4913547.2624866795,3202.995706430557
2297899.4383845064,30,18000.0,462120.5070519572,297079.8873410885,584700.9287899816,1100295.8790410687,4760126.640608603,3536.3670635799263
2297961.994407839,30,18000.0,455530.57934074645,342441.85499798384,584725.7640213822,1268303.1666591992,4966993.35942715,3116.615890033531
2298140.9557521627,30,12000.0,501098.88737936335,214374.07531439955,584808.5363484981,793978.0567199984,4404430.511514422,4303.318689904285
2304579.062264648,30,13000.0,498633.7894576952,497917.3019248079,587652.6423606983,1844138.155277066,5745950.951284915,1708.5002285890369
2298254.0534893237,30,14000.0,486665.0171393573,232163.46921082542,584854.4048145448,859864.7007808349,4475831.645434886,4139.095289064524
2297989.692456061,30,18000.0,500209.1783279678,237916.1593418853,584740.7125287383,881170.960525501,4520056.703180153,4084.607142006014
2299666.7266549454,30,17000.0,486285.80021836644,366281.8444081488,585480.6863988589,1356599.4237338842,5111344.481414204,2903.9926922659224
2298329.071040713,30,16000.0,485957.4160119687,255187.90398329895,584888.8025690994,945140.3851233295,4585533.5787284095,3926.275946536831
2298105.592597018,30,16000.0,459622.40997417475,382690.7100270545,584793.5579564547,1417373.0001002015,5158615.270654904,2744.6702734748133
2297814.582293462,30,17000.0,520796.7402366218,412544.7482050179,584663.523485296,1527943.5118704364,5360793.106090834,2466.845773929243
2298098.0537765706,30,14000.0,447956.2012611829,353568.1019471721,584788.8615568116,1309511.4886932299,5007952.7072349675,3014.2735530713526
2298783.549345895,30,17000.0,445209.83060273767,272420.24712048646,585094.0248770957,1008963.8782240239,4627501.530170239,3768.923905268927
2301366.4773331545,30,12000.0,454036.50490557554,195221.43169520944,586240.3130496604,723042.3396118869,4271937.066595486,4496.053431074158
2298129.785671482,30,17000.0,495074.50854671653,220919.5860833358,584804.6469125813,818220.68919754,4434179.216411656,4242.670286818851
2298478.1144072306,30,12000.0,498620.67281207984,313151.8986389191,584957.9844410181,1159821.8468108114,4867060.517110059,3390.316183414026
2298108.6224658033,30,14000.0,487106.95512886473,421229.7853516186,584794.0614275918,1560110.316117106,5365379.740490984,2387.832397100694
2297430.533930788,30,16000.0,486104.79156821885,231326.36165505432,584492.7591745761,856764.3024261273,4472148.748754764,4142.957622155931
2297397.3546919534,30,16000.0,473492.2760263152,324500.3366252251,584483.8461299328,1201853.0986119446,4897756.912085371,3280.1397925016736
2298492.386267449,30,11000.0,487977.49017799844,153421.71948538328,584971.7020181306,568228.5906866047,4104121.888635566,4869.446824553709
2298567.6984111695,30,16000.0,510388.4089209861,272428.1613292056,584993.549686109,1008993.1901081689,4691401.008455639,3767.7702471608563
2298437.09953303,30,14000.0,494156.44075564004,235851.43746208478,584943.1443189111,873523.8424521659,4500941.964521832,4105.901623105188
2303303.099339925,30,14000.0,480253.9116010823,483966.92249411554,587093.9920263584,1792470.083311539,5661118.0087730205,1831.6634156604905
2297162.5014059264,30,15000.0,528783.2961726354,162881.44027939512,584374.9246023472,603264.5936273894,4191496.7560876943,4775.439855741711
2298323.387756865,30,14000.0,490543.3190683503,227707.57309068838,584887.068429209,843361.3818173644,4458852.730162477,4180.704808136255
2298213.7527905568,30,13000.0,500779.04832484183,402774.1037083126,584844.5663784829,1491755.9396604174,5291397.410862612,2559.2614022304942
2297923.722225457,30,11000.0,512117.3051570768,454337.64506454364,584716.0223087976,1682732.018757569,5542856.713513444,2080.4390101899226
2304255.4403451304,30,12000.0,449346.8871800329,510829.3082068573,587511.6626073677,1891960.4007661385,5755933.699105526,1587.4287035402208
2296386.821565684,30,19000.0,508565.1437647842,442056.4256038348,584035.6845342177,1637246.020754944,5487320.096223464,2186.8385452547654
2297189.159787388,30,14000.0,510814.37708937644,193142.730672815,584391.9027621619,715343.4469363517,4314911.617248094,4495.425283327528
2297947.757736733,30,11000.0,512106.48535731947,409095.36857967405,584726.5539569592,1515168.0317765702,5330074.197407257,2499.4622211710393
2294951.755396742,30,19000.0,547497.2215308686,519297.0616152894,583408.6505662377,1923322.4504269976,5887507.139536136,1464.9051703436655
2297870.679973309,30,12000.0,496900.6119517629,184462.1958066578,584688.9568094069,683193.3178024364,4259145.762343573,4578.994735702586
2297201.089385665,30,14000.0,513112.0312209633,454963.39932400064,584393.1759317325,1685049.6271259282,5548749.32298829,2071.1735228489697
2297218.891996301,30,15000.0,526678.6480258252,172763.99478784128,584399.6836482825,639866.6473623749,4235957.865820625,4684.200947704629
2297733.985237945,30,14000.0,496907.44738028746,157931.03304334838,584626.7158212286,584929.7520124015,4136158.9334952105,4823.9843922402715
2298593.4501745314,30,16000.0,528753.282898579,167204.36135322752,585007.6589941469,619275.4124193612,4214864.165839846,4742.2164043725315
2297768.859611825,30,14000.0,496521.48568525637,249422.8512496736,584642.8264123519,923788.3379617542,4566174.36092086,3977.0111595295057
2298004.504200234,30,14000.0,515843.5711228108,238279.5491756716,584748.1541212772,882516.8487987836,4533422.627418777,4081.3224384468817
2299606.7468675384,30,11000.0,507001.4613986552,537267.4903237303,585457.6642341174,1989879.5937915943,5930242.956615636,1320.5447169631377
2301157.0188945234,30,13000.0,502303.41781142354,243576.3803552858,586139.0679897396,902134.742056614,4548340.627107587,4047.2337684040513
2299091.3024256304,30,13000.0,512009.76040336856,521195.3891344138,585231.8622421918,1930353.2930904217,5860911.607296026,1466.9324903082647
2298895.02037228,30,12000.0,534945.0999176111,521159.01063948206,585144.9055004722,1930218.5579240075,5882392.594353853,1466.3343094961333
2298111.399236244,30,13000.0,499648.124897958,471498.97717292735,584794.6829406964,1746292.5080478792,5613375.692295705,1922.3836002103694
2297990.234395356,30,18000.0,545346.3405211235,138189.917651144,584739.3419663628,511814.50981905183,4096110.3443530374,5007.983531542292
2299328.3839331483,30,12000.0,516173.35447267414,535065.7308772184,585334.7471830489,1981724.9291748828,5929657.145640973,1339.6096897837483
2298142.959039282,30,16000.0,517180.87788763514,430226.2538628943,584806.3852454819,1593430.5698625713,5439817.045897865,2304.664276907892
2298159.8911092086,30,15000.0,516807.8948521281,477316.33393348625,584813.9358984045,1767838.2738277274,5659966.329620955,1868.7262068113753
2301102.1770712147,30,11000.0,524764.5381278591,162939.6105221949,586119.2482625102,603480.0389710923,4189435.612954871,4793.657410771303
2298240.9154788414,30,17000.0,526787.3195213735,96288.64162570765,584850.4283293252,356624.598613732,3879821.90356898,5397.152786576693
2298616.5018432494,30,14000.0,508892.63018334995,455731.73927222093,585015.9278415715,1687895.330637855,5550182.129778247,2070.7555211641948
2298756.964123891,30,14000.0,507084.94254892255,554440.9408771335,585077.8858526822,2053484.9662116054,6012875.699614234,1157.4476474030544
2298244.9674747502,30,15000.0,496902.0871170665,370745.8743921588,584854.7491933873,1373132.8681191064,5138910.54629647,2855.928573717152
2297993.683777702,30,17000.0,543836.4068393977,78811.96755266107,584740.8754470914,291896.1761209669,3814309.109737819,5557.795854827598
2297079.662968596,30,14000.0,528356.7564906148,165357.90379063148,584339.0710731852,612436.6807060426,4201600.07502907,4752.124116226132
